team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Algeria,Algeria,19,27.4,62.0,2,22,180,2.0,2,1,3,2,0,0,1,0,1.0,0.5,1.5,1.0,1.5,19,29.3,38.0,2,22,180,2.0,4,3,7,4,0,0,1,0,2.0,1.5,3.5,2.0,3.5,24,8,33.3,12.0,4.0,0.08,0.25,18,10,55.6,9.0,5.0,0.22,0.4,90,100,80,12,10,22,19,1.5,2,4,-2,-1.0,90,100,80,12,10,17,20,1.5,4,2,2,1.0,0,14,24,1,29,18,28,,,0,0,24,12,4,10,14,33,,,0,2,2,180,4,2.0,10,6,60.0,1,0,1,0,0.0,0,0,0,0,,2,2,180,2,1.0,8,6,75.0,1,0,1,1,50.0,0,0,0,0,
Argentina,Argentina,18,29.6,51.0,2,22,180,2.0,5,3,8,5,0,1,2,0,2.5,1.5,4.0,2.5,4.0,18,28.0,49.0,2,22,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22,11,50.0,11.0,5.5,0.23,0.45,13,1,7.7,6.5,0.5,0.0,0.0,90,100,79,12,10,24,20,3.0,5,0,5,2.5,90,100,79,12,10,19,20,0.0,0,5,-5,-2.5,0,26,19,5,9,20,28,,,0,0,21,25,1,24,17,19,,,0,2,2,180,0,0.0,1,1,100.0,2,0,0,2,100.0,0,0,0,0,,2,2,180,5,2.5,10,5,50.0,0,0,2,0,0.0,1,0,0,1,
Australia,Australia,18,25.5,33.0,2,22,180,2.0,2,1,3,2,0,0,4,0,1.0,0.5,1.5,1.0,1.5,18,27.3,67.0,2,22,180,2.0,1,0,1,1,0,0,4,0,0.5,0.0,0.5,0.5,0.5,14,6,42.9,7.0,3.0,0.14,0.33,40,10,25.0,20.0,5.0,0.03,0.1,90,100,78,12,10,26,20,1.5,2,2,0,0.0,90,100,78,12,10,14,19,1.5,2,2,0,0.0,0,28,15,1,33,13,15,,,1,0,16,27,4,40,25,16,,,0,2,2,180,2,1.0,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,2,2,180,2,1.0,6,4,66.7,1,0,1,1,50.0,0,0,0,0,
Austria,Austria,19,29.0,54.5,2,22,180,2.0,2,1,3,1,1,1,3,0,1.0,0.5,1.5,0.5,1.0,19,29.1,45.5,2,22,180,2.0,3,2,5,3,0,1,2,0,1.5,1.0,2.5,1.5,2.5,17,5,29.4,8.5,2.5,0.06,0.2,23,9,39.1,11.5,4.5,0.13,0.33,90,100,79,12,10,24,20,1.5,3,3,0,0.0,90,100,79,12,10,15,20,1.5,3,3,0,0.0,0,25,18,3,33,24,17,,,0,0,20,21,3,19,20,18,,,1,2,2,180,3,1.5,8,5,62.5,1,0,1,0,0.0,1,0,0,1,,2,2,180,3,1.5,5,2,40.0,1,0,1,1,50.0,1,1,0,0,0.0
Belgium,Belgium,19,30.0,62.0,2,22,180,2.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,19,31.2,38.0,2,22,180,2.0,1,1,2,1,0,0,3,0,0.5,0.5,1.0,0.5,1.0,38,10,26.3,19.0,5.0,0.0,0.0,21,6,28.6,10.5,3.0,0.05,0.17,90,100,79,11,10,23,17,1.0,1,1,0,0.0,90,100,79,12,10,17,20,1.0,1,1,0,0.0,0,22,23,3,48,13,18,,,0,0,24,19,5,21,25,27,,,1,2,2,180,1,0.5,6,5,83.3,0,2,0,1,50.0,0,0,0,0,,2,2,180,1,0.5,11,10,90.9,0,2,0,1,50.0,0,0,0,0,
Bosnia & Herz.,Bosnia and Herzegovina,22,26.9,44.0,3,33,270,3.0,4,3,7,4,0,0,6,1,1.33,1.0,2.33,1.33,2.33,22,29.7,56.0,3,33,270,3.0,6,4,10,5,1,1,4,0,2.0,1.33,3.33,1.67,3.0,27,11,40.7,9.0,3.67,0.15,0.36,35,14,40.0,11.67,4.67,0.14,0.36,90,100,80,17,15,21,29,1.33,5,6,-1,-0.33,90,100,80,18,15,20,27,1.33,6,5,1,0.33,0,47,31,2,44,26,25,,,0,0,31,45,7,63,12,34,,,1,3,3,270,6,2.0,12,6,50.0,1,1,1,0,0.0,1,1,0,0,0.0,3,3,270,5,1.67,12,7,58.3,1,1,1,0,0.0,0,0,0,0,
Brazil,Brazil,22,29.7,54.0,3,33,270,3.0,7,6,13,7,0,0,5,0,2.33,2.0,4.33,2.33,4.33,22,28.0,46.0,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67,41,19,46.3,13.67,6.33,0.17,0.37,35,11,31.4,11.67,3.67,0.03,0.09,90,100,79,18,15,25,27,2.33,7,1,6,2.0,90,100,79,18,15,19,30,0.33,1,7,-6,-2.0,0,40,37,9,37,28,29,,,0,0,38,39,5,49,15,35,,,0,3,3,270,1,0.33,11,10,90.9,2,1,0,2,66.7,0,0,0,0,,3,3,270,7,2.33,18,11,61.1,0,1,2,0,0.0,0,0,0,0,
Cabo Verde,Cape Verde,20,31.4,30.5,2,22,180,2.0,2,0,2,2,0,0,3,0,1.0,0.0,1.0,1.0,1.0,20,28.2,69.5,2,22,180,2.0,2,1,3,2,0,0,3,0,1.0,0.5,1.5,1.0,1.5,18,5,27.8,9.0,2.5,0.11,0.4,44,9,20.5,22.0,4.5,0.05,0.22,90,100,78,12,10,26,20,1.0,2,2,0,0.0,90,100,78,15,7,15,21,1.0,2,2,0,0.0,0,5,20,3,11,29,25,,,0,0,21,5,5,65,14,20,,,0,2,2,180,2,1.0,9,7,77.8,0,2,0,1,50.0,0,0,0,0,,2,2,180,2,1.0,5,3,60.0,0,2,0,1,50.0,0,0,0,0,
Canada,Canada,20,27.4,61.7,3,33,270,3.0,7,3,10,7,0,0,5,0,2.33,1.0,3.33,2.33,3.33,20,28.2,38.3,3,33,270,3.0,3,3,6,3,0,0,5,2,1.0,1.0,2.0,1.0,2.0,58,21,36.2,19.33,7.0,0.12,0.33,16,7,43.8,5.33,2.33,0.19,0.43,90,100,79,18,15,24,27,1.33,8,3,5,1.67,90,100,79,17,15,22,29,1.33,3,8,-5,-1.67,0,32,49,5,105,23,26,,,0,0,49,32,2,19,26,30,,,1,3,3,270,3,1.0,7,4,57.1,1,1,1,1,33.3,0,0,0,0,,3,3,270,8,2.67,19,11,57.9,1,1,1,0,0.0,0,0,0,0,
Colombia,Colombia,18,30.5,63.0,2,22,180,2.0,4,4,8,4,0,0,3,0,2.0,2.0,4.0,2.0,4.0,18,28.6,37.0,2,22,180,2.0,1,0,1,1,0,0,2,0,0.5,0.0,0.5,0.5,0.5,35,13,37.1,17.5,6.5,0.11,0.31,15,3,20.0,7.5,1.5,0.07,0.33,90,100,84,14,8,15,22,3.0,4,1,3,1.5,90,100,84,12,10,25,20,0.0,1,4,-3,-1.5,0,23,28,10,27,16,10,,,0,0,30,21,0,27,14,17,,,0,2,2,180,1,0.5,3,2,66.7,2,0,0,1,50.0,0,0,0,0,,2,2,180,4,2.0,13,9,69.2,0,0,2,0,0.0,0,0,0,0,
